Bundling 6%
Bundling 11%
Bundling 28%
Bundling 65%
Bundling 71%
Bundling 76%
Bundling 81%
Bundling 87%
Bundling 92%
Bundling 98%
Bundling 100%
Bundling 100%
Bundling 100%
Getting composition
Composition          ComponentShowcase
Codec                h264
Output               out/demo_vertical.mp4
Concurrency          2x
Rendered 0/16900
Rendered 367/16900, time remaining: 26m 12s
Rendered 368/16900, time remaining: 26m 8s
Rendered 369/16900, time remaining: 25m 59s
Rendered 370/16900, time remaining: 26m 10s
Rendered 371/16900, time remaining: 26m 9s
Rendered 372/16900, time remaining: 26m 10s
Rendered 373/16900, time remaining: 26m 12s
Rendered 374/16900, time remaining: 26m 3s
Rendered 375/16900, time remaining: 26m 2s
Rendered 376/16900, time remaining: 25m 52s
Rendered 377/16900, time remaining: 25m 53s
Rendered 378/16900, time remaining: 25m 48s
Rendered 379/16900, time remaining: 25m 57s
Rendered 380/16900, time remaining: 25m 29s
Rendered 381/16900, time remaining: 25m 38s
Rendered 382/16900, time remaining: 25m 36s
Rendered 383/16900, time remaining: 25m 34s
Rendered 384/16900, time remaining: 25m 36s
Rendered 385/16900, time remaining: 25m 36s
Rendered 386/16900, time remaining: 25m 45s
Rendered 387/16900, time remaining: 25m 37s
Rendered 388/16900, time remaining: 25m 37s
Rendered 389/16900, time remaining: 25m 39s
Rendered 390/16900, time remaining: 25m 42s
Rendered 391/16900, time remaining: 25m 29s
Rendered 392/16900, time remaining: 25m 28s
Rendered 393/16900, time remaining: 25m 28s
Rendered 394/16900, time remaining: 25m 27s
Rendered 395/16900, time remaining: 25m 25s
Rendered 396/16900, time remaining: 25m 21s
Rendered 397/16900, time remaining: 25m 31s
Rendered 398/16900, time remaining: 25m 18s
Rendered 399/16900, time remaining: 25m 18s
Rendered 400/16900, time remaining: 25m 18s
Rendered 401/16900, time remaining: 25m 17s
Rendered 402/16900, time remaining: 25m 20s
Rendered 403/16900, time remaining: 25m 10s
Rendered 404/16900, time remaining: 25m 13s
