Bundling 6%
Bundling 11%
Bundling 17%
Bundling 28%
Bundling 65%
Bundling 71%
Bundling 76%
Bundling 81%
Bundling 87%
Bundling 92%
Bundling 98%
Bundling 100%
Bundling 100%
Bundling 100%
Getting composition
Composition          ComponentShowcase
Codec                h264
Output               out/series/collapse-ecosystems.mp4
Concurrency          2x
Rendered 282/1310, time remaining: 5m 40s
Rendered 283/1310, time remaining: 5m 44s
Rendered 284/1310, time remaining: 5m 40s
Rendered 285/1310, time remaining: 5m 45s
Rendered 286/1310, time remaining: 5m 41s
Rendered 287/1310, time remaining: 5m 45s
Rendered 288/1310, time remaining: 5m 41s
Rendered 289/1310, time remaining: 5m 42s
Rendered 290/1310, time remaining: 5m 43s
Rendered 291/1310, time remaining: 5m 41s
Rendered 292/1310, time remaining: 5m 44s
Rendered 293/1310, time remaining: 5m 42s
Rendered 294/1310, time remaining: 5m 43s
Rendered 295/1310, time remaining: 5m 42s
Rendered 296/1310, time remaining: 5m 43s
Rendered 297/1310, time remaining: 5m 40s
Rendered 298/1310, time remaining: 5m 46s
Rendered 299/1310, time remaining: 5m 43s
Rendered 300/1310, time remaining: 5m 46s
Rendered 301/1310, time remaining: 5m 42s
Rendered 302/1310, time remaining: 5m 44s
Rendered 303/1310, time remaining: 5m 44s
Rendered 304/1310, time remaining: 5m 43s
Rendered 305/1310, time remaining: 5m 43s
Rendered 306/1310, time remaining: 5m 53s
Rendered 307/1310, time remaining: 5m 52s
Rendered 308/1310, time remaining: 5m 55s
Rendered 309/1310, time remaining: 5m 54s
Rendered 310/1310, time remaining: 5m 56s
Rendered 311/1310, time remaining: 5m 54s
Rendered 312/1310, time remaining: 5m 54s
Rendered 313/1310, time remaining: 5m 56s
Rendered 314/1310, time remaining: 5m 56s
Rendered 315/1310, time remaining: 5m 58s
Rendered 316/1310, time remaining: 5m 56s
Rendered 317/1310, time remaining: 5m 58s
Rendered 318/1310, time remaining: 5m 59s
Rendered 319/1310, time remaining: 5m 54s
Rendered 320/1310, time remaining: 5m 58s
Rendered 321/1310, time remaining: 5m 54s
Rendered 322/1310, time remaining: 5m 57s
Rendered 323/1310, time remaining: 5m 53s
Rendered 324/1310, time remaining: 5m 56s
Rendered 325/1310, time remaining: 5m 56s
Rendered 326/1310, time remaining: 5m 53s
Rendered 327/1310, time remaining: 5m 57s
Rendered 328/1310, time remaining: 5m 54s
Rendered 329/1310, time remaining: 5m 54s
Rendered 330/1310, time remaining: 5m 54s
Rendered 331/1310, time remaining: 5m 54s
Rendered 332/1310, time remaining: 5m 52s
Rendered 333/1310, time remaining: 5m 53s
Rendered 334/1310, time remaining: 5m 52s
Rendered 335/1310, time remaining: 5m 52s
Rendered 336/1310, time remaining: 5m 53s
Rendered 337/1310, time remaining: 5m 52s
Rendered 338/1310, time remaining: 5m 53s
Rendered 339/1310, time remaining: 5m 54s
Rendered 340/1310, time remaining: 5m 54s
Rendered 341/1310, time remaining: 5m 53s
Rendered 342/1310, time remaining: 5m 54s
Rendered 343/1310, time remaining: 5m 53s
Rendered 344/1310, time remaining: 5m 53s
Rendered 345/1310, time remaining: 5m 54s
Rendered 346/1310, time remaining: 5m 51s
Rendered 347/1310, time remaining: 5m 53s
Rendered 348/1310, time remaining: 5m 52s
Rendered 349/1310, time remaining: 5m 54s
Rendered 350/1310, time remaining: 5m 50s
Rendered 351/1310, time remaining: 5m 53s
Rendered 352/1310, time remaining: 5m 49s
Rendered 353/1310, time remaining: 5m 53s
Rendered 354/1310, time remaining: 5m 50s
Rendered 355/1310, time remaining: 5m 54s
Rendered 356/1310, time remaining: 5m 49s
Rendered 357/1310, time remaining: 5m 53s
Rendered 358/1310, time remaining: 5m 52s
Rendered 359/1310, time remaining: 5m 50s
Rendered 360/1310, time remaining: 5m 53s
Rendered 361/1310, time remaining: 5m 50s
Rendered 362/1310, time remaining: 5m 54s
Rendered 363/1310, time remaining: 5m 51s
Rendered 364/1310, time remaining: 5m 54s
Rendered 365/1310, time remaining: 5m 51s
Rendered 366/1310, time remaining: 5m 54s
Rendered 367/1310, time remaining: 5m 52s
Rendered 368/1310, time remaining: 5m 51s
Rendered 369/1310, time remaining: 5m 51s
Rendered 370/1310, time remaining: 5m 53s
Rendered 371/1310, time remaining: 5m 52s
Rendered 372/1310, time remaining: 5m 53s
Rendered 373/1310, time remaining: 5m 52s
Rendered 374/1310, time remaining: 5m 53s
Rendered 375/1310, time remaining: 5m 51s
Rendered 376/1310, time remaining: 5m 53s
Rendered 377/1310, time remaining: 5m 51s
Rendered 378/1310, time remaining: 5m 55s
Rendered 379/1310, time remaining: 5m 50s
Rendered 380/1310, time remaining: 5m 52s
Rendered 381/1310, time remaining: 5m 49s
Rendered 382/1310, time remaining: 5m 51s
Rendered 383/1310, time remaining: 5m 50s
Rendered 384/1310, time remaining: 5m 49s
Rendered 385/1310, time remaining: 5m 52s
Rendered 386/1310, time remaining: 5m 51s
Rendered 387/1310, time remaining: 5m 51s
Rendered 388/1310, time remaining: 5m 51s
Rendered 389/1310, time remaining: 5m 52s
Rendered 390/1310, time remaining: 5m 51s
Rendered 391/1310, time remaining: 5m 53s
Rendered 392/1310, time remaining: 5m 52s
Rendered 393/1310, time remaining: 5m 53s
Rendered 394/1310, time remaining: 5m 52s
Rendered 395/1310, time remaining: 5m 51s
Rendered 396/1310, time remaining: 5m 51s
Rendered 397/1310, time remaining: 5m 49s
Rendered 398/1310, time remaining: 5m 52s
Rendered 399/1310, time remaining: 5m 47s
Rendered 400/1310, time remaining: 5m 49s
Rendered 401/1310, time remaining: 5m 46s
Rendered 402/1310, time remaining: 5m 47s
Rendered 403/1310, time remaining: 5m 44s
Rendered 404/1310, time remaining: 5m 46s
Rendered 405/1310, time remaining: 5m 42s
Rendered 406/1310, time remaining: 5m 44s
Rendered 407/1310, time remaining: 5m 41s
Rendered 408/1310, time remaining: 5m 42s
Rendered 409/1310, time remaining: 5m 40s
Rendered 410/1310, time remaining: 5m 41s
Rendered 411/1310, time remaining: 5m 39s
Rendered 412/1310, time remaining: 5m 40s
Rendered 413/1310, time remaining: 5m 40s
Rendered 414/1310, time remaining: 5m 41s
Rendered 415/1310, time remaining: 5m 41s
Rendered 416/1310, time remaining: 5m 41s
Rendered 417/1310, time remaining: 5m 40s
Rendered 418/1310, time remaining: 5m 36s
Rendered 419/1310, time remaining: 5m 39s
Rendered 420/1310, time remaining: 5m 35s
Rendered 421/1310, time remaining: 5m 39s
Rendered 422/1310, time remaining: 5m 35s
Rendered 423/1310, time remaining: 5m 36s
Rendered 424/1310, time remaining: 5m 36s
Rendered 425/1310, time remaining: 5m 35s
Rendered 426/1310, time remaining: 5m 35s
Rendered 427/1310, time remaining: 5m 36s
Rendered 428/1310, time remaining: 5m 34s
Rendered 429/1310, time remaining: 5m 36s
Rendered 430/1310, time remaining: 5m 36s
Rendered 431/1310, time remaining: 5m 34s
Rendered 432/1310, time remaining: 5m 35s
Rendered 433/1310, time remaining: 5m 34s
Rendered 434/1310, time remaining: 5m 33s
Rendered 435/1310, time remaining: 5m 32s
Rendered 436/1310, time remaining: 5m 33s
Rendered 437/1310, time remaining: 5m 31s
Rendered 438/1310, time remaining: 5m 33s
Rendered 439/1310, time remaining: 5m 32s
Rendered 440/1310, time remaining: 5m 31s
Rendered 441/1310, time remaining: 5m 31s
Rendered 442/1310, time remaining: 5m 29s
Rendered 443/1310, time remaining: 5m 30s
Rendered 444/1310, time remaining: 5m 27s
Rendered 445/1310, time remaining: 5m 29s
Rendered 446/1310, time remaining: 5m 28s
Rendered 447/1310, time remaining: 5m 28s
Rendered 448/1310, time remaining: 5m 24s
Rendered 449/1310, time remaining: 5m 25s
Rendered 450/1310, time remaining: 5m 23s
Rendered 451/1310, time remaining: 5m 24s
Rendered 452/1310, time remaining: 5m 20s
Rendered 453/1310, time remaining: 5m 21s
Rendered 454/1310, time remaining: 5m 19s
Rendered 455/1310, time remaining: 5m 20s
Rendered 456/1310, time remaining: 5m 10s
Rendered 457/1310, time remaining: 5m 12s
Rendered 458/1310, time remaining: 5m 8s
Rendered 459/1310, time remaining: 5m 9s
Rendered 460/1310, time remaining: 5m 7s
Rendered 461/1310, time remaining: 5m 8s
Rendered 462/1310, time remaining: 5m 6s
Rendered 463/1310, time remaining: 5m 7s
Rendered 464/1310, time remaining: 5m 5s
Rendered 465/1310, time remaining: 5m 4s
Rendered 466/1310, time remaining: 5m 5s
Rendered 467/1310, time remaining: 5m 4s
Rendered 468/1310, time remaining: 5m 2s
Rendered 469/1310, time remaining: 5m 3s
Rendered 470/1310, time remaining: 5m 3s
